id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"1. (§ 305c I BGB): Die Klausel ist nicht überraschend, da sie die Rechtsfolgen einer Annahme unter veränderten Bedingungen regelt. Sie ist jedoch mehrdeutig, da sie nicht klar zwischen Verbrauchern und Unternehmern unterscheidet und unterschiedliche Fristen für die Annahme des modifizierten Angebots vorsieht.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Die Klausel benachteiligt den Verbraucher unangemessen, da sie von der gesetzlichen Regelung abweicht, wonach eine Annahme unter veränderten Bedingungen als neues Angebot gilt und der Verbraucher dieses innerhalb der gesetzlichen Frist annehmen muss.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht von wesentlichen gesetzlichen Grundgedanken ab, da sie die Rechtsfolgen einer Annahme unter veränderten Bedingungen anders als das Gesetz regelt.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1954,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da sie lediglich die Abwicklung der Zahlungen regelt und keine ungewöhnlichen oder unfairen Bedingungen enthält.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel nur die Art und Weise der Zahlungsabwicklung festlegt und keine wesentlichen Rechte oder Pflichten des Vertragspartners einschränkt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine Klauselverbote mit Wertungsmöglichkeit vorliegen.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit verletzt werden.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 1}"
3545,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da Verweise auf andere Dokumente in AGB üblich sind.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da der Verbraucher Zugang zu den Datenschutzbestimmungen hat.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit betroffen sind.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Unwirksam,"1. Überraschende Klauseln: Nicht einschlägig
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die Versandkostenpauschale intransparent und unklar formuliert ist. Es fehlt an einer klaren und verständlichen Darstellung der Versandkosten, die für den Verbraucher nachvollziehbar sein muss.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",3,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3512,0,Unwirksam,"1. (§ 305c I BGB): Die Klausel ist nicht überraschend, da sie die Zahlungsabwicklung über PayPal und die damit verbundenen Bedingungen klar regelt. Sie ist auch nicht mehrdeutig, da sie die Zuständigkeiten und Verantwortlichkeiten für die Vertragsabwicklung und Kundenanfragen klar zuweist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Die Klausel benachteiligt den Verbraucher nicht unangemessen, da sie lediglich die Zahlungsabwicklung über PayPal und die damit verbundenen Bedingungen regelt.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht nicht von wesentlichen gesetzlichen Grundgedanken ab, da sie lediglich die Zahlungsabwicklung und Zuständigkeiten klar regelt.
   c) (§ 308 BGB): Nicht einschlägig, da die Klausel keine Klauselverbote mit Wertungsmöglichkeit enthält.
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine Klauselverbote ohne Wertungsmöglichkeit enthält.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 1}"
469,0,Unwirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da sie in AGB üblich ist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da der Verbraucher für jeglichen Wertverlust aufkommen muss, auch wenn dieser durch eine normale Prüfung der Ware entstanden ist.
   b) (§ 307 Abs. 2 BGB): Liegt vor, da die Klausel von wesentlichen gesetzlichen Grundgedanken (§ 439 Abs. 4 BGB) abweicht; der Verbraucher darf nicht für Wertverluste haften, die durch eine normale Prüfung entstehen.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Verstößt gegen § 309 Nr. 7 BGB, da die Haftung für Wertverluste, die durch eine normale Prüfung entstehen, nicht ausgeschlossen werden darf.",4,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
381,0,Unwirksam,"1. (§ 305c I BGB): Die Klausel ist nicht überraschend, da sie die gesetzliche Regelung zur Pre-Notification (§ 675m BGB) konkretisiert. Sie ist auch nicht mehrdeutig oder intransparent formuliert.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich die gesetzliche Regelung wiederholt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit betroffen sind.",6,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 1}"
2849,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da sie den gesetzlichen Rahmen für Gewährleistungsansprüche wiedergibt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel die gesetzlichen Rechte des Verbrauchers bestätigt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klausel vorliegt, die gegen ein Klauselverbot ohne Wertungsmöglichkeit verstößt.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Unwirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da Haftungsregelungen in AGB üblich sind.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da der Verbraucher bei leichter Fahrlässigkeit keine Ansprüche geltend machen kann, was gegen das gesetzliche Leitbild (§ 276 Abs. 1 BGB) verstößt.
   b) (§ 307 Abs. 2 BGB): Liegt vor, da die Klausel von wesentlichen gesetzlichen Grundgedanken abweicht; die Haftung für leicht fahrlässige Pflichtverletzungen darf nicht generell ausgeschlossen werden.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Verstößt gegen § 309 Nr. 7 BGB, da die Haftung für leicht fahrlässige Pflichtverletzungen nicht ausgeschlossen werden darf.",10,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 1}"
3532,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da sie die Geltung der AGB für Vertragsabschlüsse über das Internet und die Vertragssprache klar regelt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich die Vertragsbedingungen festlegt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine Klauselverbote mit Wertungsmöglichkeit vorliegen.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit vorliegen.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 1}"
