id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"1. Überraschende Klauseln: Die Klausel könnte als überraschend angesehen werden, da sie eine erhebliche Abweichung von der ursprünglichen Bestellung und eine modifizierte Annahme durch den Verbraucher ohne ausdrückliche Zustimmung ermöglicht, was nicht den üblichen Erwartungen eines Verbrauchers entspricht.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Die Klausel benachteiligt den Verbraucher unangemessen, indem sie ihm die Last aufbürdet, auf eine modifizierte Vertragsannahme zu reagieren, und ihm nur eine kurze Frist zur Ablehnung gewährt, was insbesondere intransparent und potenziell irreführend ist.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht von wesentlichen Grundgedanken der gesetzlichen Regelung des § 150 II BGB ab, da sie eine Annahme durch Unterlassen einführt, was normalerweise nicht vorgesehen ist.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1954,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Regelung zur Zahlungsabwicklung und Informationsmitteilung üblich und erwartbar ist.
2. Inhaltskontrolle: 
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich die Abwicklung der Zahlungen regelt und den Käufer über die Zahlungsinformationen und den zu zahlenden Betrag informiert.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen Rechte oder Pflichten des Verbrauchers unangemessen einschränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine unzulässigen Vertragsänderungsvorbehalte oder überlange Bindungsfristen enthalten sind.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit vorliegen.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3545,0,Unwirksam,"1. Überraschende Klauseln: Die Klausel ist nicht überraschend, da es üblich ist, dass Unternehmen auf ihre Datenschutzbestimmungen verweisen.
2. Inhaltskontrolle: Die Klausel ist intransparent, da sie lediglich auf einen externen Link verweist, ohne weitere Informationen über den Inhalt der Datenschutzbestimmungen zu geben. Dies könnte den Verbraucher unangemessen benachteiligen, da er nicht unmittelbar erkennen kann, welche datenschutzrechtlichen Regelungen gelten und wie seine personenbezogenen Daten verarbeitet werden.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Staffelung der Versandkosten in Online-Shops üblich ist und die Klausel klar und verständlich die Kostenstruktur darlegt.
2. Inhaltskontrolle: 
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Versandkostenstaffelung transparent und nachvollziehbar ist und dem Verbraucher vor Vertragsschluss bekannt gemacht wird.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht und keine wesentlichen Rechte oder Pflichten unangemessen einschränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine unzulässigen Vertragsänderungsvorbehalte oder überlange Bindungsfristen vorliegen.
   d) (§ 309 BGB): Nicht einschlägig, da keine der in § 309 BGB aufgeführten Klauselverbote ohne Wertungsmöglichkeit vorliegen.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3512,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Regelung zur Zahlungsabwicklung über einen Drittanbieter (PayPal) und die Abtretung der Forderung in diesem Kontext üblich und zu erwarten ist. Die Klausel ist klar formuliert und platziert, sodass sie nicht objektiv überraschend ist.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel klar darlegt, dass die Zahlung an PayPal zu leisten ist und die Verantwortlichkeiten des Verkäufers bezüglich der Vertragsabwicklung und Kundenanfragen bestehen bleiben.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht und keine wesentlichen Rechte oder Pflichten des Verbrauchers unangemessen einschränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine unzulässigen Vertragsänderungsvorbehalte oder überlange Bindungsfristen vorliegen.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit, wie unzulässige Haftungsausschlüsse oder Ausschluss wesentlicher Gewährleistungsrechte, enthalten sind.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
469,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da sie klar formuliert ist und typischerweise in Widerrufsbelehrungen bei Fernabsatzverträgen vorkommt.
2. Inhaltskontrolle: 
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel dem gesetzlichen Leitbild des § 357 Abs. 7 S. 1 BGB entspricht, welcher eine ähnliche Regelung vorsieht.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
381,0,Unwirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Ankündigung von Lastschrifteinzügen und die Verkürzung der Pre-Notification-Frist in AGB von Finanzdienstleistungen nicht unüblich ist.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die Verkürzung der Pre-Notification-Frist auf vier Tage erheblich von der üblichen Frist von mindestens 14 Tagen (gemäß Art. 247 § 13 EGBGB) abweicht und dem Verbraucher nicht genügend Zeit lässt, sich auf die Kontobelastung einzustellen.
   b) (§ 307 Abs. 2 BGB): Liegt vor, da die Klausel von wesentlichen gesetzlichen Grundgedanken des Art. 247 § 13 EGBGB abweicht, der eine angemessene Frist zur Information des Verbrauchers über bevorstehende Lastschriften vorsieht.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2849,0,Wirksam,"1. Überraschende Klauseln: Die Klausel ist nicht überraschend, da sie lediglich die Anwendung der gesetzlichen Vorschriften zur Gewährleistung bestätigt, was eine übliche und erwartbare Regelung in Kaufverträgen ist.
2. Inhaltskontrolle: 
   a) (§ 307 Abs. 1 BGB): Es liegt keine unangemessene Benachteiligung vor, da die Klausel die gesetzlichen Rechte des Verbrauchers bestätigt und keine Einschränkungen vornimmt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht, sondern diese bestätigt.
   c) (§ 308 BGB): Nicht einschlägig, da keine Klauselverbote mit Wertungsmöglichkeit vorliegen.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit enthalten sind.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Haftungsbeschränkungen in AGB üblich sind und die Klausel klar formuliert ist.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel Ausnahmen für wesentliche Haftungsbereiche wie Schäden an Leben, Körper oder Gesundheit, Garantien und das Produkthaftungsgesetz vorsieht.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel wesentliche Vertragspflichten und die Haftung für Erfüllungsgehilfen nicht ausschließt.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3532,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Definition des Vertragspartners und die Vertragssprache übliche und erwartbare Elemente in AGB sind.
2. Inhaltskontrolle: 
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich den Anwendungsbereich der AGB und die Vertragssprache klarstellt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen Rechte oder Pflichten des Verbrauchers einschränkt oder von gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
