id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"Die Klausel erlaubt einseitige Preisänderungen und bindet den Verbraucher an eine stillschweigende Annahme innerhalb von 14 Tagen, wobei der Zugang der Annahmeerklärung ausgeschlossen wird – ein Verstoß gegen §§ 307, 308 BGB (unangemessene Benachteiligung). Für Unternehmer ist die 3‑Tage‑Stillschweigen‑Regel zwar grundsätzlich zulässig, die Gesamtregelung ist wegen des verbraucherseitigen Teils insgesamt unwirksam.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
1954,0,Wirksam,"Die Klausel stellt lediglich eine transparente Information über die Zahlungsabwicklung dar und schränkt die Rechte des Käufers nicht unangemessen ein; sie enthält keine überraschenden oder nachteiligen Bestimmungen und verstößt somit nicht gegen §§ 307, 308 BGB.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3545,0,Unwirksam,"Die Klausel verweist nur allgemein auf die Datenschutzbestimmungen, ohne deren Inhalt oder einen konkreten, zum Zeitpunkt des Vertragsschlusses zugänglichen Link bereitzustellen. Nach § 307 Abs. 1 Satz 2 BGB muss eine Vertragsklausel so klar und verständlich sein, dass der Vertragspartner die wesentlichen Pflichten erkennen kann. Der Verweis allein ist daher nicht hinreichend transparent.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
1909,0,Wirksam,"Die Staffelung der Versandpauschalen ist klar und verständlich dargestellt und stellt keinen unangemessenen Nachteil für den Verbraucher dar (§ 307 BGB). Versandkosten dürfen grundsätzlich vereinbart werden, solange sie vor Vertragsschluss transparent offengelegt werden, was hier der Fall ist. Die Ausnahme für Sonderaktionen ist ebenfalls zulässig und ändert die Wirksamkeit der Regelung nicht.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3512,0,Unwirksam,"1. Überraschende Klauseln: Die Abtretung der Forderung an PayPal und die Vorgabe, dass die Zahlung ausschließlich an PayPal mit schuldbefreiender Wirkung zu erfolgen hat, ist für den Verbraucher nachteilig und nicht vorauszusehen (§ 305c I BGB). Die Formulierung ist mehrdeutig und lässt eine Auslegung zu, die den Verbraucher von seiner üblichen Leistungsposition gegenüber dem Unternehmer befreit, was überraschend und intransparent ist (§ 307 Abs. 1 S. 2 BGB).
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher unangemessen, weil sie wesentliche Rechte des Käufers (direkte Leistungsforderung gegenüber dem Verkäufer) einschränkt und damit von einem Grundgedanken des Schuldrechts abweicht (§ 307 Abs. 1, 2 BGB). Sie stellt zudem ein unzulässiges Abtretungsverbotsmerkmal dar, das die Gewährleistungsrechte des Verbrauchers unverhältnismäßig beschränkt (§ 309 Nr. 7 BGB).",4,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
469,0,Wirksam,"1. Überraschende Klauseln: Die Klausel ist weder nach Art, Inhalt noch nach Platzierung objektiv überraschend, da sie eine übliche Haftungsbegrenzung für den Verbraucher regelt. Sie ist klar formuliert und lässt keine mehrdeutige Auslegung zu, die den Verbraucher benachteiligen würde. Damit ist sie nicht intransparent im Sinne von § 307 Abs. 1 S. 2 BGB i.V.m. § 305c Abs. 1 BGB.  
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, sondern schränkt seine Haftung nur auf Fälle ein, in denen der Wertverlust durch unnötigen Umgang entsteht – ein zulässiger, nicht von wesentlichen gesetzlichen Grundgedanken abweichender Inhalt (§ 307 Abs. 1, 2 BGB). Sie verstößt weder gegen die Klauselverbote des § 308 BGB noch gegen die des § 309 BGB, da kein Haftungsausschluss für Vorsatz, grobe Fahrlässigkeit oder wesentliche Gewährleistungsrechte vorliegt.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
381,0,Unwirksam,"1. Überraschende Klauseln: Die Verkürzung der Pre‑Notification‑Frist auf vier Kalendertage ist nach Art und Inhalt objektiv überraschend, da Verbraucher üblicherweise eine Frist von mindestens 14 Tagen erwarten und gesetzlich vorgesehen ist. Die Formulierung ist klar, jedoch benachteiligt sie den Verbraucher erheblich, weil er kaum Zeit hat, die Lastschrift zu prüfen oder zu widersprechen.  
2. Inhaltskontrolle: a) § 307 Abs. 1 BGB – Die Klausel führt zu einer unangemessenen Benachteiligung, weil sie dem Verbraucher die Möglichkeit nimmt, rechtzeitig auf die Abbuchung zu reagieren, und ist damit intransparent hinsichtlich seiner Rechte. b) § 307 Abs. 2 BGB – Sie weicht von dem zwingenden gesetzlichen Grundgedanken des SEPA‑Verfahrens ab, das eine Vorankündigungsfrist von mindestens 14 Tagen vorsieht, und ist daher unzulässig. c) § 308 BGB – Nicht einschlägig. d) § 309 BGB – Die Klausel verstößt gegen § 309 Nr. 9, da sie eine unzulässige Verkürzung der gesetzlich vorgeschriebenen Vorankündigungsfrist vorsieht.",7,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 1}"
2849,0,Wirksam,"1. Überraschende Klauseln: Nicht überraschend, da die Anwendung der gesetzlichen Gewährleistungsbestimmungen üblich und klar formuliert ist.
2. Inhaltskontrolle: Keine unangemessene Benachteiligung, keine Abweichung von wesentlichen gesetzlichen Grundgedanken, keine verbotenen Klauseln nach §§ 308, 309 BGB.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Wirksam,"1. Überraschende Klauseln: Die Klausel schließt die Haftung für leicht fahrlässige Pflichtverletzungen aus, was in B2C‑AGB üblich ist und nicht objektiv überraschend ist; sie ist klar strukturiert und lässt keine mehrdeutige Auslegung zu, die den Verbraucher benachteiligen würde.  
2. Inhaltskontrolle:  
   a) § 307 Abs. 1 BGB: Die Klausel ist transparent und benachteiligt den Verbraucher nicht unangemessen, da Ausnahmen für Schäden an Leben, Körper, Gesundheit, Garantien, Produkthaftungsansprüche sowie für wesentliche Vertragspflichten ausdrücklich vorbehalten sind.  
   b) § 307 Abs. 2 BGB: Sie weicht nicht von wesentlichen gesetzlichen Grundgedanken ab, weil die Haftung für grobe Fahrlässigkeit, Vorsatz und für Kernpflichten erhalten bleibt.  
   c) § 308 BGB: Keine unzulässige Klauselverbotskategorie mit Wertungsmöglichkeit ist erkennbar.  
   d) § 309 BGB: Der Ausschluss der Haftung für leicht fahrlässige Pflichtverletzungen ist nach § 309 Nr. 7 zulässig, da die genannten Ausnahmen die gesetzlich geschützten Rechte des Verbrauchers wahren.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3532,0,Wirksam,"1. Überraschende Klaus: Keine überraschende, mehrdeutige oder intransparente Formulierung; die Klausel definiert lediglich den Anwendungsbereich und den Verbraucherbegriff, was üblich und erwartbar ist.  
2. Inhaltskontrolle: Keine unangemessene Benachteiligung (§ 307 Abs. 1), keine Abweichung von wesentlichen gesetzlichen Grundgedanken (§ 307 Abs. 2), kein Verstoß gegen § 308 oder § 309; die Klausel ist transparent, klar und damit zulässig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3467,0,Wirksam,"1. Überraschende Klauseln: Die Klausel enthält übliche Angaben zu Lieferfristen, Beginn und Ablauf der Frist sowie Regelungen zur Nachlieferung, die dem durchschnittlichen Geschäftsverkehr entsprechen und nicht überraschend, mehrdeutig oder intransparent sind.  
2. Inhaltskontrolle: Nach § 307 Abs. 1 BGB liegt keine unangemessene Benachteiligung des Verbrauchers vor, da die Lieferzeiten klar definiert und die Kosten für Nachlieferungen ausdrücklich ausgeschlossen werden; § 307 Abs. 2 BGB, § 308 BGB und § 309 BGB finden keine Anwendung, weil die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht, keine überlangen Bindungsfristen oder unzulässige Haftungsausschlüsse enthält.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
