id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Die Klausel ist nicht überraschend, da sie klar und detailliert formuliert ist, auf gesetzliche Bestimmungen wie § 150 II BGB verweist und den Verbraucher über den Prozess der Annahme modifizierter Angebote informiert. Sie ist nicht mehrdeutig, da die Fristen und Optionen für Verbraucher (z. B. 14-Tage-Frist) explizit beschrieben werden, und ihre Platzierung in den AGB ist üblich.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel dem Verbraucher eine ausreichende 14-Tage-Frist zur Annahme gibt und auf den Zugang der Annahmeerklärung verzichtet, was den gesetzlichen Standards entspricht und den Verbraucher nicht benachteiligt.  
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht nicht von wesentlichen gesetzlichen Grundgedanken ab, da sie den Vertragsschlussregeln folgt und lediglich den Prozess für modifizierte Angebote klärt, ohne wesentliche Rechte des Verbrauchers einzuschränken.  
   c) (§ 308 BGB): Nicht einschlägig, da keine überlangen Bindungsfristen oder unzulässige Vertragsänderungsvorbehalte vorliegen.  
   d) (§ 309 BGB): Nicht einschlägig, da keine verbotenen Klauseln wie Haftungsausschlüsse oder Ausschlüsse wesentlicher Rechte enthalten sind.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1954,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Die Klausel ist nicht überraschend, da Zahlungsabwicklungen in AGB üblich und erwartbar sind. Sie ist klar und nicht mehrdeutig formuliert, da sie präzise die Beteiligten und den Informationsprozess beschreibt, was den Verbraucher nicht benachteiligt. Zudem ist die Platzierung in den AGB transparent und entspricht den Erwartungen eines Verbrauchers in einem B2C-Vertrag.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung liegt vor, da die Klausel den Verbraucher durch transparente Mitteilung von Zahlungsinformationen schützt und nicht seine Rechte einschränkt. Die Formulierung ist klar und nicht intransparent, was eine angemessene Gestaltung darstellt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht und keine wesentlichen Rechte oder Pflichten unangemessen einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig, da die Klausel keine überlangen Bindungsfristen oder unzulässige Vertragsänderungsvorbehalte enthält.  
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine absoluten Verbote wie Haftungsausschlüsse oder Einschränkungen wesentlicher Gewährleistungsrechte umfasst.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3545,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Die Klausel ist nicht überraschend, da Verweise auf Datenschutzbestimmungen in AGB von Unternehmen üblich und erwartet sind, insbesondere im Kontext von Online-Verträgen. Sie ist nicht mehrdeutig, da sie klar angibt, wo die Bestimmungen zu finden sind. Die Formulierung ist transparent und unklar, da sie eine einfache Referenz darstellt.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich auf gesetzlich vorgeschriebene Datenschutzinformationen verweist und den Verbraucher nicht benachteiligt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen gesetzlichen Grundgedanken abweicht oder Rechte unangemessen einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig, da keine überlangen Bindungsfristen oder ähnliche Regelungen vorliegen.  
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine absoluten Verbote wie Haftungsausschlüsse betrifft.",8,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 1}"
1909,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Die Klausel ist nicht überraschend, da Versandgebühren in AGB von Online-Händlern üblich sind und der Inhalt klar tabellarisch dargestellt wird. Sie ist nicht mehrdeutig oder intransparent, da der Verbraucher die Abhängigkeit der Gebühren vom Bestellwert leicht verstehen kann. Somit liegt keine objektive Überraschung vor.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die gestaffelten Pauschalen abhängig vom Bestellwert sind und wahrscheinlich die tatsächlichen Versandkosten widerspiegeln, was den Verbraucher nicht übermäßig benachteiligt. Die Formulierung ist transparent und klar, sodass keine Ungleichgewichte entstehen.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen gesetzlichen Grundgedanken abweicht oder Rechte des Verbrauchers unangemessen einschränkt; sie regelt lediglich angemessene Gebühren.  
   c) (§ 308 BGB): Nicht einschlägig, da die Klausel keine überlangen Bindungsfristen oder ähnliche verbotene Regelungen enthält.  
   d) (§ 309 BGB): Nicht einschlägig, da keine absoluten Verbote wie Haftungsausschlüsse oder Ausschlüsse wesentlicher Rechte betroffen sind.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3512,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Keine überraschende Klausel, da die Formulierung klar, detailliert und in AGB für Zahlungsabwicklungen üblich ist; sie ist nicht mehrdeutig und transparent in Art, Inhalt sowie Platzierung.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel den Verbraucher über die Zahlungsabwicklung, Abtretung und Zuständigkeiten informiert und somit transparent ist.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht oder wesentliche Rechte unangemessen einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig, da keine überlangen Bindungsfristen oder unzulässige Vertragsänderungsvorbehalte vorliegen.  
   d) (§ 309 BGB): Nicht einschlägig, da keine verbotenen Regelungen wie Haftungsausschlüsse oder Ausschlüsse wesentlicher Rechte enthalten sind.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
469,0,Wirksam,"1. Überraschende Klauseln: Die Klausel ist nicht überraschend, da sie eine in Verbraucherverträgen übliche Regelung zum Wertverlust bei Widerruf darstellt, die dem gesetzlichen Standard entspricht. Sie ist klar und nicht mehrdeutig formuliert, was eine transparente Darstellung gewährleistet und keine Benachteiligung durch Auslegung zulässt. Somit erfüllt sie nicht die Kriterien für eine überraschende Klausel nach § 305c I BGB.
2. (§§ 307–309 BGB): 
   a) (§ 307 Abs. 1 BGB): Es liegt keine unangemessene Benachteiligung vor, da die Klausel den gesetzlichen Anforderungen aus § 357 Abs. 2 BGB folgt und den Verbraucher nur für unnötigen Umgang haften lässt. Die Formulierung ist transparent und klar, was eine faire Behandlung sicherstellt.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht nicht von wesentlichen gesetzlichen Grundgedanken ab, sondern übernimmt sie direkt, ohne wesentliche Rechte des Verbrauchers unangemessen einzuschränken. Sie dient der Umsetzung des Widerrufsrechts und ist daher unproblematisch.
   c) (§ 308 BGB): Nicht einschlägig, da die Klausel keine überlangen Bindungsfristen, Vertragsänderungsvorbehalte oder ähnliche Regelungen enthält.
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine verbotenen Bestimmungen wie Haftungsausschlüsse oder Einschränkungen wesentlicher Gewährleistungsrechte umfasst.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
381,0,Unwirksam,"1. Überraschende Klauseln (§ 305c I BGB): Die Klausel ist nicht überraschend in Art oder Inhalt, da Zahlungsbedingungen wie SEPA-Lastschriften in AGB üblich sind und die Verkürzung der Frist klar formuliert wird. Sie ist auch nicht mehrdeutig oder intransparent, da die vier Kalendertage explizit angegeben sind, was dem Verbraucher eine objektive Orientierung bietet.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die Verkürzung der Pre-Notification-Frist auf vier Kalendertage den Verbraucher in seiner Planungsfreiheit einschränkt und ihm weniger Zeit für Widerspruch oder Kontoüberprüfung lässt, was über das gesetzliche Leitbild hinausgeht.  
   b) (§ 307 Abs. 2 BGB): Liegt vor, da die Klausel von wesentlichen gesetzlichen Grundgedanken der SEPA-Vorschriften (z. B. angemessene Vorankündigung) abweicht und das Recht des Verbrauchers auf informierte Zahlungshandlungen unangemessen einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig, da die Klausel keine überlangen Bindungsfristen oder ähnliche verbotene Regelungen enthält.  
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine der explizit verbotenen Regelungen wie Haftungsausschlüsse oder pauschale Schadensersatzforderungen umfasst.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2849,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Die Klausel ist nicht überraschend, da sie klar und unmissverständlich die Anwendung der gesetzlichen Gewährleistungsregelungen bestätigt, was in AGB üblich und erwartbar ist. Sie ist weder mehrdeutig noch intransparent formuliert, sodass der Verbraucher sie problemlos verstehen kann.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel die gesetzlichen Gewährleistungsrechte unverändert übernimmt und den Verbraucher nicht benachteiligt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen gesetzlichen Grundgedanken abweicht oder Rechte unangemessen einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig, da keine verbotenen Klauseln wie überlange Bindungsfristen oder unzulässige Vertragsänderungen vorliegen.  
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine absolut verbotenen Regelungen wie Haftungsausschlüsse für Körperschäden oder Ausschlüsse wesentlicher Gewährleistungsrechte enthält.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Wirksam,"1. Überraschende Klauseln (§ 305c I BGB): Keine überraschende Klausel, da die Formulierung klar und detailliert ist, mit expliziten Ausnahmen für wesentliche Schäden und Pflichten, was in AGB üblich und nicht mehrdeutig ist. Sie ist transparent und entspricht den Erwartungen in Verbraucherverträgen.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel den Ausschluss der Haftung für leichte Fahrlässigkeit auf nebensächliche Pflichten beschränkt und gesetzlich vorgeschriebene Ausnahmen (z. B. für Leben, Gesundheit) einhält, wodurch sie dem gesetzlichen Leitbild nicht widerspricht.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen gesetzlichen Grundgedanken verletzt und die Haftung für Kardinalpflichten unberührt lässt.  
   c) (§ 308 BGB): Nicht einschlägig, da keine überlangen Bindungsfristen oder ähnliche verbotene Regelungen vorliegen.  
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel den Ausschluss der Haftung für leichte Fahrlässigkeit nicht auf verbotene Bereiche wie Vorsatz oder grobe Fahrlässigkeit ausweitet.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3532,0,Wirksam,"1. (§ 305c I BGB): Die Klausel ist nicht überraschend, da sie eine standardmäßige Einleitung in AGB darstellt, die den Geltungsbereich und Begriffe wie ""Verbraucher"" klar definiert. Sie ist weder mehrdeutig noch intransparent formuliert, da sie auf gesetzliche Definitionen (§ 13 BGB) verweist und für Verbraucher verständlich ist.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung liegt vor, da die Klausel lediglich den Anwendungsbereich beschreibt und keine Rechte des Verbrauchers einschränkt; sie ist transparent und entspricht dem gesetzlichen Standard.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen gesetzlichen Grundgedanken abweicht oder Pflichten unangemessen einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig, da keine verbotenen Elemente wie überlange Bindungsfristen oder Vertragsänderungen vorliegen.  
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine absolut verbotenen Regelungen wie Haftungsausschlüsse für Körperschäden enthält.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
