id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Regelung zur Annahme und Widerruf von veränderten Angeboten auf § 150 II BGB und § 151 BGB Bezug nimmt und die Frist von 14 Tagen für den Verbraucher klar definiert ist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da der Verbraucher im Rahmen seiner gesetzlichen Rechte die Annahme des Angebots binnen 14 Tagen zurückziehen kann.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht und die Rechte des Verbrauchers nicht unangemessen einschränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlangen Bindungsfristen oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da keine Klauselverbote ohne Wertungsmöglichkeit enthalten sind.",7,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 1}"
1954,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Weiterleitung der Zahlung an einen Dritten in Online-Handelsabkommen üblich ist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da der Verbraucher die notwendigen Zahlungsinformationen erhält.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Weiterleitung der Zahlung kein wesentliches Recht oder eine gesetzliche Grundlage schränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine unangemessene Einbindung in Klauselverbote vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da die Weiterleitung der Zahlung keine verbotene Klausel enthält.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3545,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da es sich lediglich um eine Verweisung auf allgemein zugängliche Informationen handelt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Verbraucherin dem Link folgen kann und die Datenschutzbestimmungen selbstständig prüfen kann.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine Änderung von gesetzlichen Grundvorschriften oder Benachteiligung des Verbrauchers darstellt.
   c) (§ 308 BGB): Nicht einschlägig, da es sich nicht um eine Klausel mit Wertungsmöglichkeit handelt.
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine Benachteiligung oder Verletzung von wesentlichen Rechten enthält.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da Versandkostenregelungen in AGB üblich sind und die hier vorgegebene Pauschale transparent und klar formuliert ist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Versandkostenpauschale mit steigendem Bestellwert abnimmt und somit dem gesetzlichen Leitbild entspricht.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentlichen gesetzlichen Grundgedanken des Bürgerlichen Rechts abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlangen Bindungsfristen oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine Klauselverbote ohne Wertungsmöglichkeit enthält.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3512,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da es sich um eine Standardinformation zur Zahlungsabwicklung handelt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Informationspflicht zur Weitergabe der Forderung an PayPal klar und nicht benachteiligend formuliert ist.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 1}"
469,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da es sich um einen standardisierten Wertungsmöglichkeit-Vorbehalt handelt, der den gesetzlichen Leitgedanken des § 276 BGB widerspiegelt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da der Verbraucher die Waren im Rahmen des gesetzlichen Verwendungszwecks handeln darf.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel den gesetzlichen Grundgedanken des Schutzes des Verbrauchers nicht abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine unangemessene Wertungsmöglichkeit vorliegt.
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel weder wesentliche Gewährleistungsrechte ausschließt noch pauschalierter Schadensersatz ohne Rücksicht auf Schadenshöhe regelt.",9,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 1}"
381,0,Unwirksam,"1. (§ 305c I BGB): Überraschende Klausel, da die Verkürzung der gesetzlich vorgeschriebenen Mindestankündigungsfrist für SEPA-Lastschriften (§ 307a BGB) dem Verbraucher benachteiligt und die Formulierung ""rechtzeitig vorab"" unklar ist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die Fristkürzung die Rechte des Verbrauchers nach § 307a BGB eindeutig einschränkt.
   b) (§ 307 Abs. 2 BGB): Weicht von wesentlichen gesetzlichen Grundgedanken ab, da die gesetzliche Mindestankündigungsfrist nicht eingehalten wird.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Verstößt gegen § 309 Abs. 1 Nr. 10 BGB (Ausschluss der gesetzlichen Mindestankündigungsfrist).",2,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
2849,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da sie lediglich die Geltung der gesetzlichen Vorschriften während der Mängelhaftfrist bestätigt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel die gesetzlichen Gewährleistungsrechte des Verbrauchers vollständig berücksichtigt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentliche Rechtspflicht des Verbrauchers ändert oder einschränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine Verletzung von Klauselverbotsbestimmungen mit Wertungsmöglichkeit zu erkennen ist.
   d) (§ 309 BGB): Nicht einschlägig, da die Klausel keine verbotenen Regelungen ohne Wertungsmöglichkeit enthält.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Wirksam,"1. (§ 305c I BGB): Die Klausel ist nicht objektiv überraschend, da Haftungsausschlüsse für leichte Fahrlässigkeit in AGB-Kontrakten üblich sind. Sie ist eindeutig formuliert und ermöglicht eine faire Auslegung.  
2. (§§ 307–309 BGB):  
   a) (§ 307 Abs. 1 BGB): Es liegt keine unangemessene Benachteiligung vor, da die Ausnahme von leichte Fahrlässigkeit zulässig ist und wichtige Rechte wie die Produkthaftung oder Schäden am Körper erhalten bleiben.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da die Ausnahme von leichte Fahrlässigkeit dem Leitbild des BGB entspricht.  
   c) (§ 308 BGB): Nicht einschlägig, da die Klausel keine überlangen Bindungsfristen oder unzulässige Vertragsänderungen enthält.  
   d) (§ 309 BGB): Nicht einschlägig, da die Haftung für leichte Fahrlässigkeit ausgeschlossen wird, aber dies gesetzlich zulässig ist und keine Wertungsmöglichkeit für unwirksame Klauseln bietet.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3532,0,Unwirksam,"1. (§ 305c I BGB): Die Klausel ist objektiv überraschend, da sie eine ungewöhnliche und intransparente Formulierung der Verbraucherdefinition verwendet (""Verbraucher iSd §13 BGB""). Sie ist mehrdeutig, weil der Verbraucherschutz primär durch einfachere und direktere Formulierungen gemäß §13 BGB erfüllt sein sollte.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die Formulierung den Kunden zur Nachweisführung verpflichtet und die Benachteiligung durch die komplexe Definition des Verbrauchers verstärkt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel keine wesentliche Rechtsgrundlage abweicht",2,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
