id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"1. Überraschende Klauseln: Die Klausel ist aufgrund ihrer komplexen Formulierung und der Bezugnahme auf verschiedene Paragraphen des BGB sowie der Unterscheidung zwischen Verbrauchern und Unternehmern überraschend. Die Regelung zur Annahme des modifizierten Angebots durch schlüssiges Handeln ist für den Durchschnittsverbraucher nicht ohne weiteres erkennbar.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Die Klausel benachteiligt den Verbraucher unangemessen, da sie ihm eine komplizierte Möglichkeit der Annahme aufdrängt und ihm gleichzeitig die Möglichkeit nimmt, sich auf das ursprüngliche Angebot zu berufen. Die Unterscheidung zwischen ausdrücklicher und schlüssiger Annahme ist intransparent.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht von wesentlichen gesetzlichen Grundgedanken ab, da sie die Beweislast für die Annahme des modifizierten Angebots auf den Verbraucher verlagert und die Klarheit des Vertragsabschlusses beeinträchtigt.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1954,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Beauftragung eines Zahlungsdienstleisters und die Mitteilung von Zahlungsinformationen im Rahmen eines Online-Kaufvertrags üblich sind. Die Klausel ist klar und verständlich formuliert.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt keine unangemessene Benachteiligung vor, da die Klausel lediglich die Zahlungsabwicklung durch einen Dritten regelt und dem Verbraucher die notwendigen Informationen zur Verfügung stellt.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht nicht von wesentlichen gesetzlichen Grundgedanken ab und schränkt keine Rechte oder Pflichten des Verbrauchers unangemessen ein.
   c) (§ 308 BGB): Nicht einschlägig, da keine unzulässigen Vertragsänderungen oder Bindungsfristen betroffen sind.
   d) (§ 309 BGB): Nicht einschlägig, da keine der in § 309 BGB genannten Klauselverbote verletzt werden.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3545,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da der Hinweis auf Datenschutzbestimmungen in AGB üblich ist und keine versteckten Nachteile für den Verbraucher erkennbar sind.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt keine unangemessene Benachteiligung vor, da der Hinweis auf die Datenschutzbestimmungen lediglich eine Information darstellt und keine direkten Vertragsbedingungen festlegt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Versandkostenübersicht klar und verständlich formuliert ist und typisch für Online-Shops ist.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt keine unangemessene Benachteiligung vor, da die Versandkosten gestaffelt und transparent dargestellt werden und dem üblichen Geschäftsmodell entsprechen.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht und keine Rechte oder Pflichten unangemessen einschränkt.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindungsfrist oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3512,0,Unwirksam,"1. Überraschende Klauseln: Die Klausel ist nicht unmittelbar überraschend, da die Nutzung von PayPal als Zahlungsart üblich ist. Allerdings ist die Abtretung der Forderung an PayPal für den Verbraucher nicht offensichtlich und kann überraschend wirken.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Die Klausel ist intransparent, da die Abtretung der Forderung an PayPal nicht ausreichend hervorgehoben wird und für den Verbraucher unklar sein kann, wer sein Vertragspartner für die Zahlung ist. Dies führt zu einer unangemessenen Benachteiligung, da der Verbraucher möglicherweise nicht versteht, an wen er leisten muss.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht nicht von wesentlichen gesetzlichen Grundgedanken ab, schränkt aber die Rechte des Verbrauchers, an wen er leisten darf, unangemessen ein, da die Leistung ausschließlich an PayPal erfolgen soll.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",11,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
469,0,Unwirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Regelungen zum Wertverlust bei Prüfung üblich sind, jedoch ist die Formulierung komplex und könnte intransparent wirken.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die Klausel den Verbraucher in der Beweislast benachteiligt, dass ein Umgang mit der Ware zur Prüfung nicht notwendig war, was in der Praxis schwer nachweisbar sein kann.
   b) (§ 307 Abs. 2 BGB): Die Klausel schränkt das gesetzliche Recht des Verbrauchers auf Prüfung der Ware unangemessen ein, da eine umfassende Prüfung ohne jeglichen Umgang mit der Ware kaum möglich ist.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
381,0,Unwirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Ankündigung von Lastschriften üblich ist, jedoch ist die Verkürzung der Frist für die Pre-Notification ungewöhnlich und könnte überraschend wirken.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da die verkürzte Pre-Notification-Frist von vier Tagen dem Verbraucher nur eine sehr kurze Zeitspanne zur Überprüfung und gegebenenfalls zur Verhinderung der Lastschrift lässt. Dies kann zu unberechtigten Abbuchungen und finanziellen Nachteilen führen.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht von dem im Zahlungsverkehr üblichen und erwarteten Schutz des Verbrauchers ab, der in der Regel eine längere Vorankündigungsfrist vorsieht. Dies schränkt die Rechte des Verbrauchers unangemessen ein.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",10,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2849,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Bezugnahme auf die gesetzliche Gewährleistung typisch und verständlich ist.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich die gesetzlichen Gewährleistungsrechte bestätigt und nicht beschränkt.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine unzulässigen Bindungsfristen oder Vertragsänderungen vorliegen.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Unwirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Haftungsbeschränkungen in AGB üblich sind, jedoch ist die Formulierung komplex und erfordert vom Durchschnittsverbraucher genaue Prüfung.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da der Ausschluss der Haftung für leicht fahrlässige Pflichtverletzungen den Verbraucher in einer ungünstigen Position bringt und die Risikoverteilung unangemessen verschiebt.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht von wesentlichen gesetzlichen Grundgedanken ab, da der Ausschluss der Haftung für leicht fahrlässige Pflichtverletzungen die Verkehrssicherheit beeinträchtigen kann und die Erwartungen an eine ordnungsgemäße Vertragserfüllung untergräbt.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Die Klausel verstößt gegen § 309 Nr. 4 BGB, da ein genereller Haftungsausschluss für leicht fahrlässige Pflichtverletzungen unzulässig ist, selbst wenn keine der explizit genannten Ausnahmen vorliegt. Die Ausnahmen stellen lediglich die gesetzliche Pflichtverteilung wieder her und rechtfertigen den Ausschluss nicht.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3532,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Bestimmung der Vertragssprache und die Definition des Verbrauchers gängige Praxis in AGB darstellen und keine versteckten Nachteile für den Kunden erkennbar sind.
2. Inhaltskontrolle:
   a) (§ 307 Abs. 1 BGB): Liegt keine unangemessene Benachteiligung vor, da die Klausel lediglich den Anwendungsbereich und die Definitionen festlegt, ohne den Kunden in seinen Rechten zu beschränken.
   b) (§ 307 Abs. 2 BGB): Die Klausel weicht nicht von wesentlichen gesetzlichen Grundgedanken ab und schränkt keine Rechte oder Pflichten des Kunden unangemessen ein.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindungsfrist, Vertragsänderungsvorbehalte oder starre Ausschlussfristen enthalten sind.
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
