id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"1. (§ 305c I BGB): Die Klausel ist objektiv überraschend, da sie eine ungewöhnliche Regelung für die Annahme eines modifizierten Angebots enthält.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Liegt eine unangemessene Benachteiligung vor, da der Verbraucher unter Umständen ohne ausdrückliche Annahme des Angebots gebunden ist, wenn er nicht innerhalb von 14 Tagen reagiert.
   b) (§ 307 Abs. 2 BGB): Liegt vor, da die Klausel von wesentlichen gesetzlichen Grundgedanken (§ 145 BGB) abweicht; die Annahme eines Angebots durch schlüssiges Handeln ist nur in bestimmten Fällen zulässig.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1954,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Klausel die Verpflichtung des Unternehmens (<<NAME>> Zentrale) zur Offenlegung der Zahlungsinformationen und des zu zahlenden Betrags klar regelt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel dem Käufer transparente Informationen über die Zahlungsmittel und den zu zahlenden Betrag bietet.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",9,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 1}"
3545,0,Unwirksam,"1. (§ 305c I BGB): Die Klausel ist objektiv überraschend, da sie den Verbraucher nicht hinreichend über die Inhalte der Datenschutzbestimmungen informiert.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Die Klausel ist intransparent, da sie den Verbraucher nicht direkt zu den Datenschutzbestimmungen führt, sondern nur auf eine Seite verweist.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Versandkostenregelungen in AGB üblich sind und die Gebühren klar aufgelistet sind.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Versandkostenregelungen transparent und klar sind.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",9,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 1}"
3512,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Zahlungsabwicklung über PayPal und die Abtretung der Forderung an PayPal eine übliche Praxis in der E-Commerce-Branche darstellt.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel die Zahlungsbedingungen klar regelt und den Verbraucher über die Abtretung der Forderung informiert.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
469,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende oder mehrdeutige Formulierung; die Klausel regelt den Wertverlust der Waren und ist für den Verbraucher verständlich.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da der Verbraucher nur für Wertverluste haftet, die auf einen unangemessenen Umgang zurückzuführen sind.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",10,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 2}"
381,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Ankündigung von SEPA-Lastschrifteinzügen und die Verkürzung der Frist für die Pre-Notification üblich sind.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Verkürzung der Frist für die Pre-Notification den gesetzlichen Anforderungen entspricht.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2849,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Gewährleistungsfrist gesetzlich festgelegt ist und die Klausel diese Frist nicht verkürzt oder verlängert.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel die gesetzlichen Vorschriften wiedergibt und keine unangemessene Einschränkung der Gewährleistungsrechte des Verbrauchers enthält.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Unwirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da Haftungsregelungen in AGB üblich sind.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Liegt keine unangemessene Benachteiligung vor, da die Klausel die Haftung für leicht fahrlässige Pflichtverletzungen ausklammert, aber Ausnahmen für Schäden an Leib, Leben oder Gesundheit sowie Garantien und Ansprüche nach dem Produkthaftungsgesetz vorsieht.
   b) (§ 307 Abs. 2 BGB): Liegt vor, da die Klausel von wesentlichen gesetzlichen Grundgedanken (§ 276 Abs. 3 BGB) abweicht; die Haftung für leicht fahrlässige Pflichtverletzungen darf nicht ausgeschlossen werden.
   c) (§ 308 BGB): Nicht einschlägig.
   d) (§ 309 BGB): Verstößt gegen § 309 Nr. 7 BGB, da die Haftung für leicht fahrlässige Pflichtverletzungen nicht ausgeschlossen werden darf.",9,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 1}"
3532,0,Wirksam,"1. (§ 305c I BGB): Keine überraschende Klausel, da die Einschränkung der Anwendungsbereich auf Vertragsabschlüsse über das Internet und Verträge mit Verbrauchern üblich ist.
2. (§§ 307–309 BGB):
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel transparent und klar formuliert ist.
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da die Klausel nicht von wesentlichen gesetzlichen Grundgedanken abweicht.
   c) (§ 308 BGB): Nicht einschlägig, da keine überlange Bindung oder unzulässige Vertragsänderung vorliegt.
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 2, ""Aufgaben_und_Klauselbezug"": 2, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 2, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
