id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Wirksam,"1. Überraschende Klauseln: Die Klausel stellt durch ihre klare Bezugnahme auf § 150 II BGB und die unmissverständliche Benennung der Annahmeformen (schriftlich, schlüssiges Handeln, E-Mail) keine überraschende oder mehrdeutige Regelung dar. Insoweit ist sie nicht intransparent formuliert und enthält keine Elemente, die einen ungewöhnlichen, für den Verbraucher unerwarteten Vertragsbestandteil darstellen.  
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da ihr Wesen darin besteht, das Zustandekommen eines modifizierten Vertrages transparent und nachvollziehbar zu regeln und eine 14-tägige Frist für die Annahme einzuräumen. Zugleich",6,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 1, ""Kohärenz_Klassifikation_Begruendung"": 1, ""Klarheit_und_Stringenz"": 1}"
1954,0,Wirksam,"1. Überraschende Klauseln: Die Klausel wirkt nicht überraschend, da sie übliche Zahlungsabwicklungsprozesse in Online- bzw. Versandhandelsverträgen beschreibt. Zudem ist sie transparent formuliert und erfüllt den Informationspflichten entsprechend § 305c I BGB.  
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da sie lediglich die Zahlungsabwicklung regelt und keine wesentlichen gesetzlichen Rechte oder Pflichten unzulässig einschränkt. Weiterhin entspricht die Regelung den gesetzlichen Grundgedanken, ohne durch unzulässige Klauselverbote nach §§ 308, 309 BGB zu verstoßen.",10,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 1, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3545,0,Wirksam,"1. Überraschende Klauseln: Die Klausel weist weder durch ihre Formulierung noch durch ihre Platzierung eine überraschende Wirkung auf den Verbraucher auf. Sie verweist lediglich auf die Datenschutzbestimmungen, was in AGB üblich und nicht überraschend ist.  
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da sie ihn lediglich auf detaillierte Datenschutzinformationen verweist. Diese Verweisung entspricht der Transparenzpflicht und schränkt wesentliche Rechte des Verbrauchers nicht ein.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Wirksam,"1. Überraschende Klauseln: Die Versandkostentabelle ist klar strukturiert, verständlich und entspricht den üblichen Gepflogenheiten im Online-Handel, weshalb sie nicht überraschend oder intransparent wirkt. Die Regelung ist sachgerecht in den AGB platziert und ermöglicht dem Verbraucher einen klaren Überblick über die anfallenden Kosten.  
2. Inhaltskontrolle: Die Klausel stellt den Verbraucher nicht unangemessen benachteiligt dar, da sie eine nachvollziehbare Staffelung der Versandkosten in Abhängigkeit vom Bestellwert vorsieht. Zudem verletzt sie keine wesentlichen gesetzlichen Grundgedanken und enthält keine Klauseln, die pauschal Schadensersatzansprüche oder Gewährleistungsrechte ausschließen würden.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3512,0,Wirksam,"1. Überraschende Klauseln: Die Klausel ist weder nach Art noch nach Platzierung oder Formulierung überraschend, da sie den Ablauf der Zahlungsabwicklung bei Auswahl von „PayPal-Rechnung“ detailliert und nachvollziehbar darstellt. Die Informationen zur Abtretung der Forderung und zur schuldbefreienden Wirkung der Zahlung sind hinreichend klar und transparent, wodurch eine benachteiligende Überraschung ausgeschlossen wird.  
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da sie nachvollziehbar regelt, dass der Rechnungsbetrag direkt an PayPal zu leisten ist, während der Verkäufer weiterhin für sämtliche Vertragsangelegenheiten zuständig bleibt. Sie weicht nicht von wesentlichen gesetzlichen Grundgedanken ab und enthält keine intransparenten oder übermäßig einschränkenden Bestimmungen, weshalb auch die Vorgaben des § 307 BGB eingehalten werden.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
469,0,Wirksam,"1. Überraschende Klauseln: Die Klausel ist weder in Art, Inhalt noch in ihrer Platzierung objektiv überraschend, da sie den Verbraucher lediglich dazu verpflichtet, für einen über das zur Prüfung der Ware notwendigen Umgang hinausgehenden Wertverlust aufzukommen. Zudem ist der Wortlaut klar und nachvollziehbar, sodass keine mehrdeutige, benachteiligende Auslegung vorgenommen werden kann.  
2. Inhaltskontrolle:  
   a) § 307 Abs. 1 BGB: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da ihr lediglich eine Haftung bei einem durch übermäßigen, nicht notwendigen Umgang verursachten Wertverlust zuzuordnen ist.  
   b) § 307 Abs. 2 BGB: Die Regelung weicht nicht von wesentlichen gesetzlichen Grundgedanken ab, da sie dem Verbraucher einen eigentlichen Prüfungs- und Nutzungsspielraum einräumt und nur darüber hinausgehende Handlungen in die Haftung nimmt, was den vertraglichen Interessen beider Parteien entspricht.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
381,0,Wirksam,"1. Überraschende Klauseln: Die Klausel enthält keine unerwartete oder mehrdeutige Formulierung, da eine Pre-Notification bei SEPA-Lastschrifteinzügen üblich ist. Die Verkürzung der Frist auf vier Kalendertage vor Fälligkeit wird klar benannt und ist nicht intransparent dargestellt.  
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da sie ihm eine rechtzeitige Information über den anstehenden Lastschrifteinzug ermöglicht. Sie weicht nicht von wesentlichen gesetzlichen Grundgedanken ab und enthält keine unzulässigen Klauselverbote, weshalb sie den Anforderungen des § 307 ff. BGB genügt.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2849,0,Wirksam,"1. Überraschende Klauseln: Die Klausel verweist lediglich auf die gesetzlichen Vorschriften zur Gewährleistung, was weder hinsichtlich Art noch Platzierung überraschend oder mehrdeutig erscheint. Sie ist klar formuliert und benachteiligt den Verbraucher nicht, da er die gesetzlichen Regelungen kennt.  
2. Inhaltskontrolle: Die Klausel stellt keine unangemessene Benachteiligung dar, da sie den gesetzlichen Rahmen einhält und keine wesentlichen Rechte des Verbrauchers einschränkt. Sie weicht nicht von den gesetzlichen Grundgedanken ab und enthält keine Klauselverbote nach §§ 308 oder 309 BGB.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Wirksam,"1. Überraschende Klauseln: Die Klausel ist weder in Art noch in ihrer Platzierung überraschend, da Haftungsausschlüsse in AGB üblich sind. Zudem ist die Formulierung klar und differenziert zwischen leicht fahrlässigen Pflichtverletzungen und den Ausschlussgründen, sodass keine mehrdeutigen Interpretationen zulasten des Verbrauchers möglich sind.  
2. Inhaltskontrolle: Die Klausel schließt die Haftung für leichte Fahrlässigkeit nur in Bereichen aus, die nicht die wesentlichen vertraglichen Pflichten betreffen, wodurch eine unangemessene Benachteiligung des Verbrauchers vermieden wird. Zudem enthält sie ausdrücklich Ausnahmen für delikate Bereiche wie Leben, Körper oder Gesundheit, was den gesetzlichen Grundgedanken und die erforderliche Transparenz im Sinne des § 307 BGB wahrt.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3532,0,Wirksam,"1. Überraschende Klauseln: Die Klausel enthält keine überraschenden Regelungen, da sie ausschließlich den Geltungsbereich auf Internet-Verträge und den Anwendungsbereich für Verbraucher beschreibt, was branchenüblich ist. Die Formulierung ist klar und eindeutig, sodass keine mehrdeutige Auslegung zu Lasten des Verbrauchers möglich ist.
2. Inhaltskontrolle: Die Klausel benachteiligt den Verbraucher nicht unangemessen, da sie lediglich den Geltungsbereich und die Definition von Verbrauchern festlegt. Sie entspricht den gesetzlichen Anforderungen, indem sie transparente und verständliche Bestimmungen ohne übermäßige Einschränkungen der Verbraucherrechte enthält.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 3, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
