id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"Die Klausel ist unwirksam, da sie den Besteller unangemessen benachteiligt. Insbesondere die Regelung, dass ein modifiziertes Angebot bei Nichtwiderspruch eines Unternehmers innerhalb von 3 Tagen als angenommen gilt, ist überraschend und unklar. Zudem wird dem Verbraucher eine Annahme durch schlüssiges Handeln ermöglicht, was zu Rechtsunsicherheit führen kann.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
1954,0,Wirksam,Die Klausel regelt die Abwicklung von Zahlungen und die Informationspflichten der Zentrale gegenüber dem Käufer. Sie ist klar formuliert und verstößt nicht gegen zwingende gesetzliche Bestimmungen oder die guten Sitten. Die Benennung der Parteien durch Platzhalter ist üblich und beeinträchtigt die Wirksamkeit nicht.,0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3545,0,Wirksam,"Die Klausel verweist lediglich auf die Datenschutzbestimmungen, ohne diese selbst zu enthalten oder zu verändern. Dies ist eine übliche und zulässige Praxis, um auf weiterführende Informationen zu verweisen. Die Wirksamkeit hängt von der Gültigkeit der verlinkten Datenschutzbestimmungen ab.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
1909,0,Wirksam,"Die Klausel ist wirksam, da sie die Versandkosten transparent und gestaffelt nach Bestellwert darstellt. Die Ausnahme für Sonderaktionen ist ebenfalls zulässig und kundenfreundlich. Es liegt keine unangemessene Benachteiligung des Kunden vor.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3512,0,Wirksam,"Die Klausel ist wirksam, da sie die Abtretung einer Forderung an einen Zahlungsdienstleister und die damit verbundenen Zahlungsmodalitäten klar regelt. Die Abtretung ist nach § 398 BGB zulässig und die Information über die Zahlungsfrist sowie die schuldbefreiende Wirkung der Zahlung an PayPal ist transparent. Die Beibehaltung der Zuständigkeit für die allgemeine Vertragsabwicklung durch den Verkäufer ist ebenfalls zulässig.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
469,0,Wirksam,"Die Klausel entspricht dem gesetzlichen Widerrufsrecht des Verbrauchers gemäß § 357 Abs. 1 BGB, wonach der Verbraucher Wertersatz für eine Verschlechterung der Sache nur leisten muss, wenn er die Verschlechterung zu vertreten hat. Die Klausel stellt klar, dass dies nur bei einem nicht notwendigen Umgang der Fall ist und ist daher nicht überraschend oder unklar.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
381,0,Unwirksam,"Die Verkürzung der Vorabankündigungsfrist für SEPA-Lastschriften auf vier Kalendertage ist unwirksam, da die SEPA-Verordnung eine Frist von mindestens 14 Kalendertagen vorsieht. Eine Abweichung von dieser gesetzlichen Regelung ist nicht zulässig und benachteiligt den Kunden unangemessen.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
2849,0,Wirksam,"Die Klausel verweist lediglich auf die gesetzlichen Vorschriften für Mängel der Kaufsache innerhalb der gesetzlichen Gewährleistungsfrist. Dies ist eine zulässige Klarstellung und keine Einschränkung der gesetzlichen Rechte des Käufers. Sie entspricht dem Grundsatz, dass die gesetzliche Gewährleistung im deutschen Zivilrecht gilt.",1,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3051,0,Wirksam,"Die Klausel ist wirksam, da sie den Haftungsausschluss für leichte Fahrlässigkeit auf zulässige Bereiche beschränkt. Sie schließt die Haftung für Schäden aus Leben, Körper und Gesundheit sowie für Garantien und Ansprüche nach dem Produkthaftungsgesetz nicht aus. Auch die Haftung für wesentliche Vertragspflichten und die Pflichtverletzungen von Erfüllungsgehilfen bleibt unberührt.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
3532,0,Wirksam,"Die Klausel ist wirksam, da sie die Geltung der AGB für Online-Verträge zwischen einem Unternehmer und Verbrauchern klar regelt und die Vertragssprache bestimmt. Die Definition des Verbrauchers entspricht der gesetzlichen Regelung in § 13 BGB.",0,"{""Instruktions_und_Formatkonformitaet"": 0, ""Aufgaben_und_Klauselbezug"": 0, ""Ueberraschung_305c"": 0, ""Inhaltskontrolle_307bis309"": 0, ""Kohärenz_Klassifikation_Begruendung"": 0, ""Klarheit_und_Stringenz"": 0}"
